month,lowGrownProduction
2024-01,14514558.99
2024-02,14492748.05
2024-03,13871099.98
2024-04,15476243.18
2024-05,15644282.42
2024-06,16312735.55
2024-07,15658081.59
2024-08,14836862.72
2024-09,15268769.79
2024-10,15335765.61
2024-11,16398342.73
2024-12,15505684.05
2025-01,15496186.76
2025-02,14863334.93
2025-03,15059941.01
2025-04,15900635.11
2025-05,15839973.43
2025-06,16134425.58
2025-07,14974501.39
2025-08,15233741.2
2025-09,15035189.62
2025-10,15651487.27
2025-11,16055712.84
2025-12,15607997.63
2026-01,15608476.56
2026-02,14837820.43
2026-03,15514576.99
2026-04,15419846.72
2026-05,15881438.77
2026-06,15734548.4
2026-07,15272373.01
2026-08,15417654.61
2026-09,15103387.52
2026-10,15837757.06
2026-11,15519809.55
2026-12,15741635.83
2027-01,15381729.21
2027-02,15228560.55
2027-03,15534793.14
2027-04,15393001.99
2027-05,15889452.09
2027-06,15371199.49
2027-07,15564824.53
2027-08,15271791.86
2027-09,15414430.17
2027-10,15661683.42
2027-11,15481250.5
2027-12,15737355.52
2028-01,15232801.14
2028-02,15545762.62
2028-03,15344343.91
2028-04,15590262.16
2028-05,15637261.84
2028-06,15428370.99
2028-07,15590010.48
2028-08,15237947.48
2028-09,15631196.82
2028-10,15419693.77
2028-11,15637007.74
2028-12,15518309.09
